M1;EURUSD-OTC;06:42;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 44%
M1;EURUSD-OTC;06:47;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;06:48;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;06:51;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 100%
M1;EURUSD-OTC;06:52;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 78%
M1;EURUSD-OTC;06:53;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;06:58;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;07:03;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;07:07;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;07:08;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;07:10;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;07:11;CALL; - 100% -  ; MG 1 - 50%   ; MG 2 - 56%
M1;EURUSD-OTC;07:12;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;07:14;PUT ; - 100% -  ; MG 1 - 100%   ; MG 2 - 89%
M1;EURUSD-OTC;07:15;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;07:17;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;07:21;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;07:22;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;07:28;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;07:29;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;07:37;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;07:38;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;07:42;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;07:43;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;07:52;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;07:53;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;07:56;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;08:01;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;08:06;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;08:11;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;08:12;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;08:13;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;08:14;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;08:23;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;08:25;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;08:27;PUT ; - 100% -  ; MG 1 - 100%   ; MG 2 - 67%
M1;EURUSD-OTC;08:28;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 33%
M1;EURUSD-OTC;08:29;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
